ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
554,São João do Pau DAlho,,,,,,R$ 1.185.993,66.83%,195,554_São_João_do_Pau_DAlho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/554_S%C3%A3o_Jo%C3%A3o_do_Pau_DAlho.pdf
555,São Joaquim da Barra,,,,,,R$ 7.751.714,28.54%,3.141,555_São_Joaquim_da_Barra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/555_S%C3%A3o_Joaquim_da_Barra.pdf
556,São José da Bela Vista,,,,,,R$ 2.447.821,40.2%,749,556_São_José_da_Bela_Vista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/556_S%C3%A3o_Jos%C3%A9_da_Bela_Vista.pdf
557,São José do Barreiro,,,,,,R$ 3.019.304,56.36%,659,557_São_José_do_Barreiro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/557_S%C3%A3o_Jos%C3%A9_do_Barreiro.pdf
558,São José do Rio Pardo,,,,,,R$ 10.448.099,34.4%,3.565,558_São_José_do_Rio_Pardo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/558_S%C3%A3o_Jos%C3%A9_do_Rio_Pardo.pdf
559,São José do Rio Preto,,,,,,R$ 131.801.861,42.25%,39.047,559_São_José_do_Rio_Preto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/559_S%C3%A3o_Jos%C3%A9_do_Rio_Preto.pdf
560,São José dos Campos,,,,,,R$ 262.063.771,40.88%,77.854,560_São_José_dos_Campos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/560_S%C3%A3o_Jos%C3%A9_dos_Campos.pdf
561,São Lourenço da Serra,,,,,,R$ 6.190.520,50.9%,1.561,561_São_Lourenço_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/561_S%C3%A3o_Louren%C3%A7o_da_Serra.pdf
562,São Luíz do Paraitinga,,,,,,R$ 4.752.223,39.41%,1.482,562_São_Luíz_do_Paraitinga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/562_S%C3%A3o_Lu%C3%ADz_do_Paraitinga.pdf
563,São Manuel,,,,,,R$ 12.838.203,43.96%,3.581,563_São_Manuel.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/563_S%C3%A3o_Manuel.pdf
564,São Miguel Arcanjo,,,,,,R$ 10.650.527,38.91%,3.388,564_São_Miguel_Arcanjo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/564_S%C3%A3o_Miguel_Arcanjo.pdf
565,São Paulo,,,,,,R$ 2.650.230.177,32.04%,984.975,565_São_Paulo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/565_S%C3%A3o_Paulo.pdf
566,São Pedro,,,,,,R$ 15.371.396,35.69%,5.001,566_São_Pedro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/566_S%C3%A3o_Pedro.pdf
567,São Pedro do Turvo,,,,,,R$ 3.467.163,46.94%,908,567_São_Pedro_do_Turvo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/567_S%C3%A3o_Pedro_do_Turvo.pdf
568,São Roque,,,,,,R$ 34.867.484,32.84%,11.902,568_São_Roque.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/568_S%C3%A3o_Roque.pdf
569,São Sebastião,,,,,,R$ 57.236.611,43.37%,16.330,569_São_Sebastião.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/569_S%C3%A3o_Sebasti%C3%A3o.pdf
570,São Sebastião da Grama,,,,,,R$ 3.889.799,38.65%,1.165,570_São_Sebastião_da_Grama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/570_S%C3%A3o_Sebasti%C3%A3o_da_Grama.pdf
571,São Simão,,,,,,R$ 1.333.867,17.81%,753,571_São_Simão.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/571_S%C3%A3o_Sim%C3%A3o.pdf
572,São Vicente,,,,,,R$ 135.680.001,43.9%,37.779,572_São_Vicente.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/572_S%C3%A3o_Vicente.pdf
573,Sarapuí,,,,,,R$ 3.968.996,39.89%,1.161,573_Sarapuí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/573_Sarapu%C3%AD.pdf
574,Sarutaiá,,,,,,R$ 1.716.187,49.31%,421,574_Sarutaiá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/574_Sarutai%C3%A1.pdf
575,Sebastianópolis do Sul,,,,,,R$ 1.464.044,45.72%,384,575_Sebastianópolis_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/575_Sebastian%C3%B3polis_do_Sul.pdf
576,Serra Azul,,,,,,R$ 4.115.419,53.6%,1.010,576_Serra_Azul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/576_Serra_Azul.pdf
577,Serra Negra,,,,,,R$ 1.804.505,11.81%,1.579,577_Serra_Negra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/577_Serra_Negra.pdf
578,Serrana,,,,,,R$ 21.635.463,41.81%,6.153,578_Serrana.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/578_Serrana.pdf
579,Sertãozinho,,,,,,R$ 57.022.096,46.51%,15.579,579_Sertãozinho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/579_Sert%C3%A3ozinho.pdf
580,Sete Barras,,,,,,R$ 7.195.933,51.73%,1.705,580_Sete_Barras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/580_Sete_Barras.pdf
581,Severínia,,,,,,R$ 6.916.390,36.72%,2.339,581_Severínia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/581_Sever%C3%ADnia.pdf
582,Silveiras,,,,,,R$ 3.137.149,56.15%,709,582_Silveiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/582_Silveiras.pdf
583,Socorro,,,,,,R$ 10.732.786,41.86%,3.066,583_Socorro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/583_Socorro.pdf
584,Sorocaba,,,,,,R$ 214.381.264,43.59%,61.754,584_Sorocaba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/584_Sorocaba.pdf
