ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
158,Dobrada,,,,,,R$ 1.058.058,18.43%,562,158_Dobrada.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/158_Dobrada.pdf
159,Dois Córregos,,,,,,R$ 11.166.034,44.13%,3.171,159_Dois_Córregos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/159_Dois_C%C3%B3rregos.pdf
160,Dolcinópolis,,,,,,R$ 1.725.297,72.3%,280,160_Dolcinópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/160_Dolcin%C3%B3polis.pdf
161,Dourado,,,,,,R$ 4.819.615,59.27%,1.097,161_Dourado.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/161_Dourado.pdf
162,Dracena,,,,,,R$ 10.011.047,31.03%,3.873,162_Dracena.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/162_Dracena.pdf
163,Duartina,,,,,,R$ 3.628.436,35.55%,1.185,163_Duartina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/163_Duartina.pdf
164,Dumont,,,,,,R$ 4.482.804,37.13%,1.420,164_Dumont.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/164_Dumont.pdf
165,Echaporã,,,,,,R$ 2.567.144,43.63%,730,165_Echaporã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/165_Echapor%C3%A3.pdf
166,Eldorado,,,,,,R$ 6.928.312,48.24%,1.663,166_Eldorado.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/166_Eldorado.pdf
167,Elias Fausto,,,,,,R$ 8.792.227,37.47%,3.014,167_Elias_Fausto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/167_Elias_Fausto.pdf
168,Elisiário,,,,,,R$ 2.233.982,65.98%,414,168_Elisiário.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/168_Elisi%C3%A1rio.pdf
169,Embaúba,,,,,,R$ 1.035.616,49.2%,207,169_Embaúba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/169_Emba%C3%BAba.pdf
170,Embu,,,,,,R$ 79.584.422,40.79%,24.120,170_Embu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/170_Embu.pdf
171,Embu-Guaçu,,,,,,R$ 16.300.341,40.27%,4.847,171_Embu-Guaçu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/171_Embu-Gua%C3%A7u.pdf
172,Emilianópolis,,,,,,R$ 975.664,20.64%,434,172_Emilianópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/172_Emilian%C3%B3polis.pdf
173,Engenheiro Coelho,,,,,,R$ 7.178.896,38.69%,2.136,173_Engenheiro_Coelho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/173_Engenheiro_Coelho.pdf
174,Espírito Santo do Pinhal,,,,,,R$ 5.290.065,27.03%,2.302,174_Espírito_Santo_do_Pinhal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/174_Esp%C3%ADrito_Santo_do_Pinhal.pdf
175,Espírito Santo do Turvo,,,,,,R$ 1.073.799,18.71%,576,175_Espírito_Santo_do_Turvo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/175_Esp%C3%ADrito_Santo_do_Turvo.pdf
176,Estiva Gerbi,,,,,,R$ 3.880.983,24.02%,1.730,176_Estiva_Gerbi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/176_Estiva_Gerbi.pdf
177,Estrela do Norte,,,,,,R$ 1.565.443,64.57%,298,177_Estrela_do_Norte.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/177_Estrela_do_Norte.pdf
178,Estrela DOeste,,,,,,R$ 3.749.974,51.41%,905,178_Estrela_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/178_Estrela_DOeste.pdf
179,Euclides da Cunha Paulista,,,,,,R$ 2.516.236,39.6%,756,179_Euclides_da_Cunha_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/179_Euclides_da_Cunha_Paulista.pdf
180,Fartura,,,,,,R$ 5.588.133,33.95%,1.844,180_Fartura.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/180_Fartura.pdf
181,Fernando Prestes,,,,,,R$ 1.257.872,14.86%,851,181_Fernando_Prestes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/181_Fernando_Prestes.pdf
182,Fernandópolis,,,,,,R$ 18.554.904,34.25%,6.320,182_Fernandópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/182_Fernand%C3%B3polis.pdf
183,Fernão,,,,,,R$ 889.414,48.56%,198,183_Fernão.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/183_Fern%C3%A3o.pdf
184,Ferraz de Vasconcelos,,,,,,R$ 68.540.092,44.15%,19.359,184_Ferraz_de_Vasconcelos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/184_Ferraz_de_Vasconcelos.pdf
185,Flora Rica,,,,,,R$ 1.481.637,96.2%,201,185_Flora_Rica.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/185_Flora_Rica.pdf
186,Floreal,,,,,,R$ 1.041.186,46.39%,223,186_Floreal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/186_Floreal.pdf
187,Flórida Paulista,,,,,,R$ 3.318.325,41.65%,931,187_Flórida_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/187_Fl%C3%B3rida_Paulista.pdf
188,Florínea,,,,,,R$ 806.731,51.96%,170,188_Florínea.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/188_Flor%C3%ADnea.pdf
189,Franca,,,,,,R$ 85.538.921,36.74%,28.169,189_Franca.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/189_Franca.pdf
190,Francisco Morato,,,,,,R$ 74.116.684,41.83%,21.789,190_Francisco_Morato.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/190_Francisco_Morato.pdf
191,Franco da Rocha,,,,,,R$ 52.316.215,37.9%,16.787,191_Franco_da_Rocha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/191_Franco_da_Rocha.pdf
192,Gabriel Monteiro,,,,,,R$ 1.263.769,44.66%,284,192_Gabriel_Monteiro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/192_Gabriel_Monteiro.pdf
193,Gália,,,,,,R$ 2.544.500,56.15%,573,193_Gália.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/193_G%C3%A1lia.pdf
194,Garça,,,,,,R$ 6.749.187,20.74%,3.629,194_Garça.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/194_Gar%C3%A7a.pdf
195,Gastão Vidigal,,,,,,R$ 1.179.501,65.47%,213,195_Gastão_Vidigal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/195_Gast%C3%A3o_Vidigal.pdf
196,Gavião Peixoto,,,,,,R$ 2.154.412,23.6%,986,196_Gavião_Peixoto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/196_Gavi%C3%A3o_Peixoto.pdf
197,General Salgado,,,,,,R$ 5.136.190,49.23%,1.306,197_General_Salgado.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/197_General_Salgado.pdf
198,Getulina,,,,,,R$ 3.042.423,55.96%,694,198_Getulina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/198_Getulina.pdf
199,Glicério,,,,,,R$ 2.072.246,48.67%,497,199_Glicério.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/199_Glic%C3%A9rio.pdf
200,Guaiçara,,,,,,R$ 3.954.091,36.67%,1.274,200_Guaiçara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/200_Guai%C3%A7ara.pdf
201,Guaimbê,,,,,,R$ 1.399.745,24.72%,591,201_Guaimbê.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/201_Guaimb%C3%AA.pdf
202,Guaíra,,,,,,R$ 10.185.542,36.76%,3.292,202_Guaíra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/202_Gua%C3%ADra.pdf
203,Guapiaçu,,,,,,R$ 11.564.746,46.53%,3.179,203_Guapiaçu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/203_Guapia%C3%A7u.pdf
204,Guapiara,,,,,,R$ 8.556.238,47.17%,2.174,204_Guapiara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/204_Guapiara.pdf
205,Guará,,,,,,R$ 8.241.291,35.98%,2.759,205_Guará.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/205_Guar%C3%A1.pdf
206,Guaraçaí,,,,,,R$ 2.033.909,47.23%,560,206_Guaraçaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/206_Guara%C3%A7a%C3%AD.pdf
207,Guaraci,,,,,,R$ 5.263.344,39.24%,1.630,207_Guaraci.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/207_Guaraci.pdf
208,Guarani DOeste,,,,,,R$ 1.171.196,59.33%,196,208_Guarani_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/208_Guarani_DOeste.pdf
209,Guarantã,,,,,,R$ 2.314.926,48.32%,625,209_Guarantã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/209_Guarant%C3%A3.pdf
210,Guararapes,,,,,,R$ 8.559.544,36.29%,2.931,210_Guararapes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/210_Guararapes.pdf
211,Guararema,,,,,,R$ 9.379.633,27.22%,3.944,211_Guararema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/211_Guararema.pdf
212,Guaratinguetá,,,,,,R$ 36.540.739,35.77%,11.865,212_Guaratinguetá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/212_Guaratinguet%C3%A1.pdf
213,Guareí,,,,,,R$ 4.939.347,43.72%,1.416,213_Guareí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/213_Guare%C3%AD.pdf
214,Guariba,,,,,,R$ 15.140.706,33.0%,5.726,214_Guariba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/214_Guariba.pdf
215,Guarujá,,,,,,R$ 113.147.197,42.4%,32.643,215_Guarujá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/215_Guaruj%C3%A1.pdf
216,Guarulhos,,,,,,R$ 396.847.755,44.63%,113.248,216_Guarulhos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/216_Guarulhos.pdf
217,Guatapará,,,,,,R$ 4.634.047,51.21%,1.171,217_Guatapará.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/217_Guatapar%C3%A1.pdf
218,Guzolândia,,,,,,R$ 2.205.169,65.38%,435,218_Guzolândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/218_Guzol%C3%A2ndia.pdf
219,Herculândia,,,,,,R$ 2.753.246,36.63%,893,219_Herculândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/219_Hercul%C3%A2ndia.pdf
220,Holambra,,,,,,R$ 7.199.797,32.57%,2.387,220_Holambra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/220_Holambra.pdf
221,Hortolândia,,,,,,R$ 73.205.420,34.8%,24.749,221_Hortolândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/221_Hortol%C3%A2ndia.pdf
222,Iacanga,,,,,,R$ 4.615.725,35.9%,1.557,222_Iacanga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/222_Iacanga.pdf
223,Iacri,,,,,,R$ 1.550.988,53.98%,340,223_Iacri.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/223_Iacri.pdf
224,Iaras,,,,,,R$ 4.273.222,47.78%,1.104,224_Iaras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/224_Iaras.pdf
225,Ibaté,,,,,,R$ 14.495.256,42.82%,4.082,225_Ibaté.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/225_Ibat%C3%A9.pdf
226,Ibirá,,,,,,R$ 4.878.155,35.56%,1.602,226_Ibirá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/226_Ibir%C3%A1.pdf
227,Ibitinga,,,,,,R$ 18.411.100,39.38%,5.496,227_Ibitinga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/227_Ibitinga.pdf
228,Ibiúna,,,,,,R$ 32.156.532,44.88%,8.674,228_Ibiúna.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/228_Ibi%C3%BAna.pdf
229,Icém,,,,,,R$ 3.247.551,41.7%,957,229_Icém.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/229_Ic%C3%A9m.pdf
230,Iepê,,,,,,R$ 3.552.835,58.67%,798,230_Iepê.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/230_Iep%C3%AA.pdf
231,Igaraçu do Tietê,,,,,,R$ 6.359.452,38.22%,2.069,231_Igaraçu_do_Tietê.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/231_Igara%C3%A7u_do_Tiet%C3%AA.pdf
232,Igarapava,,,,,,R$ 10.602.412,40.05%,3.261,232_Igarapava.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/232_Igarapava.pdf
233,Igaratá,,,,,,R$ 3.932.637,25.9%,1.706,233_Igaratá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/233_Igarat%C3%A1.pdf
234,Iguape,,,,,,R$ 10.691.016,47.44%,2.735,234_Iguape.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/234_Iguape.pdf
235,Ilha Comprida,,,,,,R$ 6.627.736,30.32%,2.551,235_Ilha_Comprida.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/235_Ilha_Comprida.pdf
236,Ilha Solteira,,,,,,R$ 3.751.057,19.16%,1.966,236_Ilha_Solteira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/236_Ilha_Solteira.pdf
237,Ilhabela,,,,,,R$ 14.038.223,22.64%,6.684,237_Ilhabela.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/237_Ilhabela.pdf
238,Indaiatuba,,,,,,R$ 77.082.198,34.55%,26.329,238_Indaiatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/238_Indaiatuba.pdf
239,Indiana,,,,,,R$ 2.376.611,62.93%,482,239_Indiana.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/239_Indiana.pdf
240,Indiaporã,,,,,,R$ 1.344.059,37.73%,359,240_Indiaporã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/240_Indiapor%C3%A3.pdf
241,Inúbia Paulista,,,,,,R$ 2.023.915,74.33%,334,241_Inúbia_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/241_In%C3%BAbia_Paulista.pdf
242,Ipaussu,,,,,,R$ 7.986.935,47.98%,2.110,242_Ipaussu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/242_Ipaussu.pdf
243,Iperó,,,,,,R$ 22.846.887,46.42%,6.134,243_Iperó.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/243_Iper%C3%B3.pdf
244,Ipeúna,,,,,,R$ 2.575.660,36.55%,795,244_Ipeúna.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/244_Ipe%C3%BAna.pdf
245,Ipiguá,,,,,,R$ 3.188.458,56.14%,734,245_Ipiguá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/245_Ipigu%C3%A1.pdf
246,Iporanga,,,,,,R$ 1.923.340,53.29%,435,246_Iporanga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/246_Iporanga.pdf
247,Ipuã,,,,,,R$ 4.505.528,26.35%,1.988,247_Ipuã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/247_Ipu%C3%A3.pdf
248,Iracemápolis,,,,,,R$ 7.699.689,41.03%,2.270,248_Iracemápolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/248_Iracem%C3%A1polis.pdf
249,Irapuã,,,,,,R$ 2.342.550,34.09%,807,249_Irapuã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/249_Irapu%C3%A3.pdf
250,Irapuru,,,,,,R$ 2.713.354,70.59%,505,250_Irapuru.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/250_Irapuru.pdf
251,Itaberá,,,,,,R$ 1.887.376,16.76%,1.087,251_Itaberá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/251_Itaber%C3%A1.pdf
252,Itaí,,,,,,R$ 10.179.994,46.01%,2.753,252_Itaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/252_Ita%C3%AD.pdf
253,Itajobi,,,,,,R$ 6.981.742,34.59%,2.355,253_Itajobi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/253_Itajobi.pdf
254,Itaju,,,,,,R$ 2.214.736,57.37%,462,254_Itaju.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/254_Itaju.pdf
255,Itanhaém,,,,,,R$ 68.225.185,47.23%,18.345,255_Itanhaém.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/255_Itanha%C3%A9m.pdf
256,Itaóca,,,,,,R$ 1.035.468,26.26%,350,256_Itaóca.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/256_Ita%C3%B3ca.pdf
257,Itapecerica da Serra,,,,,,R$ 63.211.669,50.44%,16.376,257_Itapecerica_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/257_Itapecerica_da_Serra.pdf
258,Itapetininga,,,,,,R$ 45.938.495,36.12%,14.843,258_Itapetininga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/258_Itapetininga.pdf
259,Itapeva,,,,,,R$ 53.854.303,44.63%,14.710,259_Itapeva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/259_Itapeva.pdf
260,Itapevi,,,,,,R$ 94.238.458,39.58%,29.069,260_Itapevi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/260_Itapevi.pdf
261,Itapira,,,,,,R$ 18.079.348,39.38%,5.588,261_Itapira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/261_Itapira.pdf
262,Itapirapuã Paulista,,,,,,R$ 2.278.038,51.7%,546,262_Itapirapuã_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/262_Itapirapu%C3%A3_Paulista.pdf
263,Itápolis,,,,,,R$ 8.775.806,30.31%,3.446,263_Itápolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/263_It%C3%A1polis.pdf
264,Itaporanga,,,,,,R$ 5.845.079,52.44%,1.359,264_Itaporanga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/264_Itaporanga.pdf
265,Itapuí,,,,,,R$ 3.652.024,21.99%,1.755,265_Itapuí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/265_Itapu%C3%AD.pdf
266,Itapura,,,,,,R$ 1.697.606,44.38%,434,266_Itapura.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/266_Itapura.pdf
267,Itaquaquecetuba,,,,,,R$ 119.272.783,34.65%,41.982,267_Itaquaquecetuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/267_Itaquaquecetuba.pdf
268,Itararé,,,,,,R$ 19.320.566,45.68%,5.050,268_Itararé.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/268_Itarar%C3%A9.pdf
269,Itariri,,,,,,R$ 5.420.540,42.55%,1.402,269_Itariri.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/269_Itariri.pdf
270,Itatiba,,,,,,R$ 56.416.751,44.85%,16.092,270_Itatiba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/270_Itatiba.pdf
271,Itatinga,,,,,,R$ 9.115.699,44.56%,2.569,271_Itatinga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/271_Itatinga.pdf
272,Itirapina,,,,,,R$ 6.832.581,40.0%,2.024,272_Itirapina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/272_Itirapina.pdf
273,Itirapuã,,,,,,R$ 2.969.797,55.22%,672,273_Itirapuã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/273_Itirapu%C3%A3.pdf
274,Itobi,,,,,,R$ 1.771.885,57.0%,341,274_Itobi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/274_Itobi.pdf
275,Itu,,,,,,R$ 32.324.441,22.53%,16.699,275_Itu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/275_Itu.pdf
276,Itupeva,,,,,,R$ 27.112.462,49.63%,7.192,276_Itupeva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/276_Itupeva.pdf
277,Ituverava,,,,,,R$ 12.275.446,33.48%,4.548,277_Ituverava.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/277_Ituverava.pdf
278,Jaborandi,,,,,,R$ 1.279.718,13.2%,932,278_Jaborandi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/278_Jaborandi.pdf
279,Jaboticabal,,,,,,R$ 17.311.866,33.97%,5.981,279_Jaboticabal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/279_Jaboticabal.pdf
280,Jacareí,,,,,,R$ 74.603.801,43.23%,20.897,280_Jacareí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/280_Jacare%C3%AD.pdf
281,Jaci,,,,,,R$ 2.707.886,35.47%,942,281_Jaci.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/281_Jaci.pdf
282,Jacupiranga,,,,,,R$ 7.436.956,50.51%,1.807,282_Jacupiranga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/282_Jacupiranga.pdf
283,Jaguariúna,,,,,,R$ 31.359.568,47.02%,8.591,283_Jaguariúna.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/283_Jaguari%C3%BAna.pdf
284,Jales,,,,,,R$ 14.418.590,42.71%,4.033,284_Jales.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/284_Jales.pdf
285,Jambeiro,,,,,,R$ 4.374.189,50.98%,1.082,285_Jambeiro.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/285_Jambeiro.pdf
286,Jandira,,,,,,R$ 31.589.470,36.35%,10.355,286_Jandira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/286_Jandira.pdf
287,Jardinópolis,,,,,,R$ 22.351.514,43.43%,6.346,287_Jardinópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/287_Jardin%C3%B3polis.pdf
288,Jarinu,,,,,,R$ 16.562.029,41.02%,4.741,288_Jarinu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/288_Jarinu.pdf
289,Jaú,,,,,,R$ 36.628.256,42.74%,10.771,289_Jaú.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/289_Ja%C3%BA.pdf
290,Jeriquara,,,,,,R$ 2.231.308,37.66%,715,290_Jeriquara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/290_Jeriquara.pdf
291,Joanópolis,,,,,,R$ 7.496.327,49.11%,1.959,291_Joanópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/291_Joan%C3%B3polis.pdf
292,João Ramalho,,,,,,R$ 2.215.722,53.58%,516,292_João_Ramalho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/292_Jo%C3%A3o_Ramalho.pdf
293,José Bonifácio,,,,,,R$ 9.934.500,37.88%,3.088,293_José_Bonifácio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/293_Jos%C3%A9_Bonif%C3%A1cio.pdf
294,Júlio Mesquita,,,,,,R$ 2.301.139,49.74%,575,294_Júlio_Mesquita.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/294_J%C3%BAlio_Mesquita.pdf
295,Jumirim,,,,,,R$ 2.182.262,40.54%,574,295_Jumirim.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/295_Jumirim.pdf
296,Jundiaí,,,,,,R$ 100.100.442,38.25%,33.203,296_Jundiaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/296_Jundia%C3%AD.pdf
297,Junqueirópolis,,,,,,R$ 1.653.962,8.32%,1.993,297_Junqueirópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/297_Junqueir%C3%B3polis.pdf
298,Juquiá,,,,,,R$ 7.357.947,43.74%,2.028,298_Juquiá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/298_Juqui%C3%A1.pdf
299,Juquitiba,,,,,,R$ 8.362.917,41.16%,2.444,299_Juquitiba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/299_Juquitiba.pdf
300,Lagoinha,,,,,,R$ 2.525.697,63.47%,487,300_Lagoinha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/300_Lagoinha.pdf
301,Laranjal Paulista,,,,,,R$ 14.288.946,45.07%,3.930,301_Laranjal_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/301_Laranjal_Paulista.pdf
302,Lavínia,,,,,,R$ 2.798.692,59.2%,614,302_Lavínia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/302_Lav%C3%ADnia.pdf
303,Lavrinhas,,,,,,R$ 4.775.614,61.21%,1.055,303_Lavrinhas.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/303_Lavrinhas.pdf
304,Leme,,,,,,R$ 33.790.423,38.35%,10.160,304_Leme.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/304_Leme.pdf
305,Lençóis Paulista,,,,,,R$ 25.680.280,36.11%,8.283,305_Lençóis_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/305_Len%C3%A7%C3%B3is_Paulista.pdf
306,Limeira,,,,,,R$ 63.030.474,31.45%,23.003,306_Limeira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/306_Limeira.pdf
307,Lindóia,,,,,,R$ 3.332.980,37.87%,1.046,307_Lindóia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/307_Lind%C3%B3ia.pdf
308,Lins,,,,,,R$ 13.643.349,34.44%,4.586,308_Lins.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/308_Lins.pdf
309,Lorena,,,,,,R$ 29.716.251,46.4%,8.155,309_Lorena.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/309_Lorena.pdf
310,Lourdes,,,,,,R$ 1.014.838,42.05%,253,310_Lourdes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/310_Lourdes.pdf
311,Louveira,,,,,,R$ 15.553.879,27.46%,6.415,311_Louveira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/311_Louveira.pdf
312,Lucélia,,,,,,R$ 5.037.311,28.53%,2.101,312_Lucélia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/312_Luc%C3%A9lia.pdf
313,Lucianópolis,,,,,,R$ 1.531.696,86.52%,239,313_Lucianópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/313_Lucian%C3%B3polis.pdf
314,Luís Antônio,,,,,,R$ 7.713.615,44.36%,2.147,314_Luís_Antônio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/314_Lu%C3%ADs_Ant%C3%B4nio.pdf
